play,comments,danmu,favorites,coins
120,1,19,19,0
477,12,5,2,7
30,0,3,0,0
734,65,37,54,167
605,7,18,28,20
146,0,1,2,0
256,11,2,1,5
3,0,0,0,0
145,4,7,0,1
87,2,0,8,2
2504,29,208,195,254
279,2,0,3,2
13,1,0,0,0
98,1,1,3,4
108,2,6,6,12
2626,5,72,39,4
552,2,15,9,2
187,1,4,4,1
111,3,0,3,0
1573,6,39,20,4
81,0,1,4,0
397,0,6,3,0
121,3,1,0,0
77,0,0,1,0
2160,22,248,100,10
525,2,1,12,0
557,15,24,36,13
10,0,0,0,0
98,3,0,0,1
149,0,1,8,0
18,0,0,0,0
114,3,27,2,1
128,8,1,0,1
241,12,3,2,0
340,0,0,8,7
402,4,3,3,2
15,0,0,5,0
81,6,4,1,2
1184,30,34,59,40
1150,14,120,86,77
1553,10,13,5,5
1991,5,19,195,10
202,1,7,3,0
397,10,78,60,30
132,1,6,1,1
81,0,1,0,0
33,1,0,0,0
6,1,0,3,0
15,0,0,0,0
95166,909,2133,1195,4139
3192,7,76,26,3
608,5,4,1,13
90,0,1,17,4
32,1,6,1,1
402,41,10,72,3
295,10,0,0,4
700,1,24,10,1
23,0,0,0,0
135,1,7,13,4
44,2,0,2,1
823,2,10,4,0
1133,11,17,39,7
291,25,89,7,44
20,2,0,0,1
171,4,0,50,2
22,2,1,0,0
798,3,8,32,0
125,0,3,4,0
6,0,0,0,0
233,7,5,5,5
29,2,0,0,0
36,1,3,3,0
56,0,0,0,0
467,13,7,1,1
11,2,0,0,4
60,4,0,1,0
227,3,8,10,8
6237,31,331,246,118
647,27,37,16,38
69,3,0,2,0
165,9,1,3,6
25,0,4,0,1
178,7,34,5,0
410,72,128,17,92
101,15,4,4,10
82,11,3,0,4
377,10,19,74,8
19269,122,1680,1407,45
7248,97,396,44,248
50,1,1,1,0
28,0,0,0,0
1679,1,10,32,2
2000,11,21,10,7
1118,6,35,22,7
1662,13,34,87,33
472,3,13,16,4
37,0,0,5,0
121,1,7,0,2
85,8,0,1,2
